,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,58636000.0,60360000.0,61799000.0,63710000.0,64391000.0
Share Issued,58636000.0,60360000.0,61799000.0,63710000.0,64391000.0
Net Debt,395280000.0,396134000.0,428193000.0,424156000.0,404615000.0
Total Debt,451516000.0,451206000.0,455897000.0,455591000.0,455288000.0
Tangible Book Value,-221759000.0,-226208000.0,-239708000.0,-246339000.0,-217484000.0
Invested Capital,924046000.0,928775000.0,939114000.0,945506000.0,966773000.0
Working Capital,98205000.0,95533000.0,80719000.0,71778000.0,97445000.0
Net Tangible Assets,-221759000.0,-226208000.0,-239708000.0,-246339000.0,-217484000.0
Common Stock Equity,472530000.0,477569000.0,483217000.0,489915000.0,511485000.0
Total Capitalization,924046000.0,928775000.0,939114000.0,945506000.0,966773000.0
Total Equity Gross Minority Interest,472530000.0,477569000.0,483217000.0,489915000.0,511485000.0
Stockholders Equity,472530000.0,477569000.0,483217000.0,489915000.0,511485000.0
Gains Losses Not Affecting Retained Earnings,-556000.0,-972000.0,-261000.0,-2054000.0,-1598000.0
Other Equity Adjustments,-556000.0,-972000.0,-261000.0,-2054000.0,-1598000.0
Retained Earnings,-941494000.0,-948892000.0,-956550000.0,-963559000.0,-961546000.0
Additional Paid In Capital,1413994000.0,1426829000.0,1439410000.0,1454891000.0,1473986000.0
Capital Stock,586000.0,604000.0,618000.0,637000.0,643000.0
Common Stock,586000.0,604000.0,618000.0,637000.0,643000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,589888000.0,593818000.0,581437000.0,593768000.0,600380000.0
Total Non Current Liabilities Net Minority Interest,476501000.0,476999000.0,482511000.0,482816000.0,483495000.0
Other Non Current Liabilities,18744000.0,19135000.0,19407000.0,20427000.0,21434000.0
Non Current Deferred Liabilities,6241000.0,6658000.0,7207000.0,6798000.0,6773000.0
Non Current Deferred Taxes Liabilities,6241000.0,6658000.0,7207000.0,6798000.0,6773000.0
Long Term Debt And Capital Lease Obligation,451516000.0,451206000.0,455897000.0,455591000.0,455288000.0
Long Term Debt,451516000.0,451206000.0,455897000.0,455591000.0,455288000.0
Current Liabilities,113387000.0,116819000.0,98926000.0,110952000.0,116885000.0
Pensionand Other Post Retirement Benefit Plans Current,38074000.0,28890000.0,22528000.0,28212000.0,36295000.0
Payables And Accrued Expenses,75313000.0,87929000.0,76398000.0,82740000.0,80590000.0
Current Accrued Expenses,47564000.0,54889000.0,45463000.0,53325000.0,47092000.0
Payables,27749000.0,33040000.0,30935000.0,29415000.0,33498000.0
Accounts Payable,27749000.0,33040000.0,30935000.0,29415000.0,33498000.0
Total Assets,1062418000.0,1071387000.0,1064654000.0,1083683000.0,1111865000.0
Total Non Current Assets,850826000.0,859035000.0,885009000.0,900953000.0,897535000.0
Other Non Current Assets,32720000.0,25694000.0,26314000.0,26923000.0,27332000.0
Non Current Deferred Assets,88594000.0,94280000.0,99772000.0,101259000.0,100530000.0
Non Current Deferred Taxes Assets,88594000.0,94280000.0,99772000.0,101259000.0,100530000.0
Goodwill And Other Intangible Assets,694289000.0,703777000.0,722925000.0,736254000.0,728969000.0
Other Intangible Assets,527082000.0,537174000.0,555363000.0,571006000.0,585690000.0
Goodwill,167207000.0,166603000.0,167562000.0,165248000.0,143279000.0
Net PPE,35223000.0,35284000.0,35998000.0,36517000.0,40704000.0
Accumulated Depreciation,-117057000.0,,,,-103095000.0
Gross PPE,152280000.0,,,,143799000.0
Leases,20130000.0,,,,17398000.0
Machinery Furniture Equipment,132150000.0,,,,126401000.0
Properties,0.0,,,,0.0
Current Assets,211592000.0,212352000.0,179645000.0,182730000.0,214330000.0
Other Current Assets,7920000.0,12972000.0,7769000.0,8391000.0,16134000.0
Prepaid Assets,15491000.0,15483000.0,11320000.0,11931000.0,13782000.0
Receivables,131945000.0,128825000.0,132852000.0,130973000.0,133741000.0
Accounts Receivable,131945000.0,128825000.0,132852000.0,130973000.0,133741000.0
Allowance For Doubtful Accounts Receivable,-2473000.0,,,,-2455000.0
Gross Accounts Receivable,134418000.0,,,,136196000.0
Cash Cash Equivalents And Short Term Investments,56236000.0,55072000.0,27704000.0,31435000.0,50673000.0
Cash And Cash Equivalents,56236000.0,55072000.0,27704000.0,31435000.0,50673000.0
