,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.21
Normalized EBITDA,1254000.0,-2581000.0,-5038000.0,-3233000.0,-2403000.0
Net Income From Continuing Operation Net Minority Interest,-2654000.0,-6362000.0,-8577000.0,-7381000.0,-6623000.0
Reconciled Depreciation,5994000.0,5994000.0,6168000.0,6475000.0,6622000.0
Reconciled Cost Of Revenue,192352000.0,192803000.0,175512000.0,181458000.0,173249000.0
EBITDA,1254000.0,-2581000.0,-5038000.0,-3233000.0,-2403000.0
EBIT,-4740000.0,-8575000.0,-11206000.0,-9708000.0,-9025000.0
Net Interest Income,2182000.0,2356000.0,2487000.0,2627000.0,2663000.0
Interest Income,2182000.0,2356000.0,2487000.0,2627000.0,2663000.0
Normalized Income,-2654000.0,-6362000.0,-8577000.0,-7381000.0,-6623000.0
Net Income From Continuing And Discontinued Operation,-2654000.0,-6362000.0,-8576000.0,-7378000.0,-6529000.0
Total Expenses,346037000.0,350702000.0,322433000.0,334724000.0,321135000.0
Total Operating Income As Reported,-4740000.0,-8575000.0,-11206000.0,-9708000.0,-9025000.0
Diluted Average Shares,135354835.0,133345590.0,131388256.0,129792798.0,127984475.0
Basic Average Shares,135354835.0,133345590.0,131388256.0,129792798.0,127984475.0
Diluted EPS,-0.02,-0.05,-0.07,-0.06,-0.05
Basic EPS,-0.02,-0.05,-0.07,-0.06,-0.05
Diluted NI Availto Com Stockholders,-2654000.0,-6362000.0,-8576000.0,-7378000.0,-6529000.0
Net Income Common Stockholders,-2654000.0,-6362000.0,-8576000.0,-7378000.0,-6529000.0
Net Income,-2654000.0,-6362000.0,-8576000.0,-7378000.0,-6529000.0
Net Income Including Noncontrolling Interests,-2654000.0,-6362000.0,-8576000.0,-7378000.0,-6529000.0
Net Income Discontinuous Operations,0.0,0.0,1000.0,3000.0,94000.0
Net Income Continuous Operations,-2654000.0,-6362000.0,-8577000.0,-7381000.0,-6623000.0
Tax Provision,66000.0,58000.0,241000.0,241000.0,182000.0
Pretax Income,-2588000.0,-6304000.0,-8336000.0,-7140000.0,-6441000.0
Other Income Expense,-30000.0,-85000.0,383000.0,-59000.0,-79000.0
Other Non Operating Income Expenses,-30000.0,-85000.0,383000.0,-59000.0,-79000.0
Net Non Operating Interest Income Expense,2182000.0,2356000.0,2487000.0,2627000.0,2663000.0
Interest Income Non Operating,2182000.0,2356000.0,2487000.0,2627000.0,2663000.0
Operating Income,-4740000.0,-8575000.0,-11206000.0,-9708000.0,-9025000.0
Operating Expense,153685000.0,157899000.0,146921000.0,153266000.0,147886000.0
Selling General And Administration,153685000.0,157899000.0,146921000.0,153266000.0,147886000.0
Gross Profit,148945000.0,149324000.0,135715000.0,143558000.0,138861000.0
Cost Of Revenue,192352000.0,192803000.0,175512000.0,181458000.0,173249000.0
Total Revenue,341297000.0,342127000.0,311227000.0,325016000.0,312110000.0
Operating Revenue,341297000.0,342127000.0,311227000.0,325016000.0,312110000.0
